hu12	hu12_name	hu12_country	hu12_zoneid	hu12_pct_in_nwi	hu12_ha	hu12_ha_in_nwi	hu12_pct_in_usa	hu12_ha_in_usa	hu12_lat	hu12_long
110100010101	East Prong White River-White River	US	HU12_1	0.000000000000000	7332.081312054459900	0.000000000000000	100.000000000000000	7332.081312054459900	35.8266258	-93.6950226
110100010401	London Creek-West Fork White River	US	HU12_10	0.000000000000000	8733.588876779740500	0.000000000000000	100.000000000000000	8733.588876779740500	35.8504333	-94.1042786
110100060902	Headwaters Big Creek-Norfork Lake	US	HU12_100	0.000000000000000	9294.570625316879200	0.000000000000000	100.000000000000000	9294.570625316879200	36.3804092	-91.9944534
051402060701	Bayou Creek-Ohio River	US	HU12_1000	22.274492569596426	19137.568535482598000	4262.796281437502300	100.000000000000000	19137.568535482598000	37.1484413	-88.8184814
070200100404	Middle South Fork Watonwan River	US	HU12_10000	100.000000000002290	11244.667147094000000	11244.667147094280000	100.000000000000000	11244.667147094000000	43.8859749	-94.6324997
070200100405	Long Lake	US	HU12_10001	99.999999999999972	3555.141586057050100	3555.141586057049200	100.000000000000000	3555.141586057050100	43.9245987	-94.6287842
070200100406	Lower South Fork Watonwan River	US	HU12_10002	100.000000000003270	8266.419797361530100	8266.419797361799300	100.000000000000000	8266.419797361530100	44.0013161	-94.4807892
070200100501	Mink Creek	US	HU12_10003	99.999999999993847	4562.788217518030300	4562.788217517747400	100.000000000000000	4562.788217518030300	43.7963181	-94.5333557
070200100502	Judicial Ditch No 72	US	HU12_10004	100.000000000001190	4958.669095573959600	4958.669095574020500	100.000000000000000	4958.669095573959600	43.8304749	-94.5578156
070200100503	Upper Perch Creek	US	HU12_10005	100.000000000003840	4332.515538550979700	4332.515538551142500	100.000000000000000	4332.515538550979700	43.8397751	-94.4544373
070200100504	Judicial Ditch No 47	US	HU12_10006	99.999999999994500	5297.023916514080200	5297.023916513790900	100.000000000000000	5297.023916514080200	43.8325272	-94.4126587
070200100505	City of Lewisville	US	HU12_10007	99.999999999996106	4152.068450413839900	4152.068450413676100	100.000000000000000	4152.068450413839900	43.9045639	-94.4247589
070200100506	Spring Branch Creek	US	HU12_10008	99.999999999999829	10444.350798329200000	10444.350798329215000	100.000000000000000	10444.350798329200000	43.9437561	-94.4534302
070200100507	Lower Perch Creek	US	HU12_10009	100.000000000004350	5042.113912075349600	5042.113912075564300	100.000000000000000	5042.113912075349600	43.9556313	-94.3285675
051402060702	Redstone Creek-Ohio River	US	HU12_1001	40.162192070415308	12769.307694361300000	5128.433882271700900	100.000000000000000	12769.307694361300000	37.2029305	-88.9730377
070200100601	Lake Hanska	US	HU12_10010	100.000000000001550	13432.494564016301000	13432.494564016539000	100.000000000000000	13432.494564016301000	44.1250725	-94.6455002
070200100602	City of La Salle-Watonwan River	US	HU12_10011	99.999999999995012	4734.573181929100400	4734.573181928863100	100.000000000000000	4734.573181929100400	44.0655212	-94.5723495
070200100603	Elm Creek	US	HU12_10012	99.999999999999929	7446.163099049150300	7446.163099049139400	100.000000000000000	7446.163099049150300	44.0999794	-94.4681091
070200100604	City of Madelia-Watonwan River	US	HU12_10013	99.999999999997243	11322.494128859500000	11322.494128859145000	100.000000000000000	11322.494128859500000	44.0450974	-94.3576813
070200100605	County Ditch No 78	US	HU12_10014	99.999999999997286	4878.073644510879600	4878.073644510743200	100.000000000000000	4878.073644510879600	43.9962921	-94.1813736
070200100606	Watonwan River	US	HU12_10015	99.999999999998394	6831.628730687360100	6831.628730687250000	100.000000000000000	6831.628730687360100	44.0248070	-94.2178955
070200110101	Headwaters Le Sueur River	US	HU12_10016	99.999999999997300	13417.850704394599000	13417.850704394230000	100.000000000000000	13417.850704394599000	43.8467369	-93.4108887
070200110102	Boot Creek	US	HU12_10017	99.999999999999943	12960.922096851600000	12960.922096851542000	100.000000000000000	12960.922096851600000	43.8529472	-93.5022583
070200110103	County Ditch No 27-Le Sueur River	US	HU12_10018	100.000000000003710	13460.215743369299000	13460.215743369823000	100.000000000000000	13460.215743369299000	43.9484100	-93.4534531
070200110104	Little Le Sueur River	US	HU12_10019	100.000000000003130	6276.069585855189900	6276.069585855388100	100.000000000000000	6276.069585855189900	43.9988403	-93.4394608
051402060703	Hess Bayou-Ohio River	US	HU12_1002	90.189852222857127	12058.407474100301000	10875.459881321005000	100.000000000000000	12058.407474100301000	37.1466331	-89.1370850
070200110105	County Ditch No 38	US	HU12_10020	100.000000000000600	5695.232121599029600	5695.232121599066000	100.000000000000000	5695.232121599029600	44.0804825	-93.5655670
070200110106	County Ditch No 35-Le Sueur River	US	HU12_10021	100.000000000000550	14076.070497236300000	14076.070497236384000	100.000000000000000	14076.070497236300000	44.0321655	-93.6229477
070200110201	County Ditch No 5	US	HU12_10022	100.000000000000940	4222.908249591159800	4222.908249591195300	100.000000000000000	4222.908249591159800	43.9320450	-93.8141556
070200110202	Severson Lake-Little Cobb River	US	HU12_10023	99.999999999998892	12313.365517837099000	12313.365517836914000	100.000000000000000	12313.365517837099000	43.9161720	-93.6725769
070200110203	Bull Run Creek	US	HU12_10024	99.999999999994714	10963.856082734101000	10963.856082733562000	100.000000000000000	10963.856082734101000	43.9759903	-93.6645279
070400080101	Headwaters North Branch Root River	US	HU12_10025	100.000000000001460	9783.464159851570000	9783.464159851711900	100.000000000000000	9783.464159851570000	43.7736320	-92.7234802
070400080102	Evanger Church	US	HU12_10026	99.999999999996987	5376.920252714910000	5376.920252714748100	100.000000000000000	5376.920252714910000	43.8376617	-92.7556076
070400080103	Robinson Creek	US	HU12_10027	100.000000000007110	4550.957773364830200	4550.957773365150400	100.000000000000000	4550.957773364830200	43.8096466	-92.6177979
070400080104	Town of High Forest-North Branch Root River	US	HU12_10028	99.999999999990365	5479.308399084449800	5479.308399083921400	100.000000000000000	5479.308399084449800	43.8548622	-92.5938644
