geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
Global	69.0567	-37.71516	152.9232	-123.6301
bldr.us	39.972022	39.972022	-105.233544	-105.233544
bnch.us	44.27668543	44.27668543	-121.9680169	-121.9680169
bogong.au	-36.874	-36.874	147.254	147.254
burrawan.au	-27.734896	-27.734896	151.139517	151.139517
cbgb.us	41.78506667	41.78506667	-93.38538333	-93.38538333
cdcr.us	45.425	45.425	-93.2115	-93.2115
cdpt.us	41.2	41.2	-101.63	-101.63
cereep.fr	48.28	48.28	2.66	2.66
chilcas.ar	-36.275556	-36.275556	-58.265556	-58.265556
comp.pt	38.82928	38.82928	-8.791406	-8.791406
cowi.ca	48.8088	48.8088	-123.6301	-123.6301
doane.us	40.6954	40.6954	-96.8541	-96.8541
elliot.us	32.875	32.875	-117.052243	-117.052243
frue.ch	47.113187	47.113187	8.541821	8.541821
hall.us	36.871944	36.871944	-86.70167	-86.70167
hart.us	42.723745	42.723745	-119.49767	-119.49767
hero.uk	51.411	51.411	-0.639	-0.639
hopl.us	39.01275343	39.01275343	-123.0603134	-123.0603134
kibber.in	32.31972667	32.31972667	78.00954	78.00954
kilp.fi	69.0567	69.0567	20.8747	20.8747
kiny.au	-36.2	-36.2	143.75	143.75
koffler.ca	44.024047	44.024047	-79.535881	-79.535881
konz.us	39.070856	39.070856	-96.582821	-96.582821
lancaster.uk	53.98562471	53.98562471	-2.628417566	-2.628417566
look.us	44.20517707	44.20517707	-122.1284473	-122.1284473
marc.ar	-37.71516	-37.71516	-57.42451	-57.42451
mcla.us	38.86427212	38.86427212	-122.4064063	-122.4064063
mtca.au	-31.782138	-31.782138	117.610853	117.610853
pape.de	53.086	53.086	7.4728	7.4728
ping.au	-32.496169	-32.496169	116.972947	116.972947
pinj.au	-27.530556	-27.530556	152.923222	152.923222
rook.uk	51.406	51.406	-0.644	-0.644
sage.us	39.43	39.43	-120.24	-120.24
saline.us	39.05	39.05	-99.1	-99.1
sava.us	33.343894	33.343894	-81.650936	-81.650936
sedg.us	34.7	34.7	-120.0166667	-120.0166667
sevi.us	34.3592	34.3592	-106.6905	-106.6905
sgs.us	40.81667	40.81667	-104.76667	-104.76667
shps.us	44.242989	44.242989	-112.198391	-112.198391
sier.us	39.23550963	39.23550963	-121.2836963	-121.2836963
smith.us	48.20658068	48.20658068	-122.624754	-122.624754
spin.us	38.135833	38.135833	-84.500556	-84.500556
temple.us	31.044	31.044	-97.349	-97.349
trel.us	40.075	40.075	-88.829	-88.829
ukul.za	-29.67	-29.67	30.4	30.4
valm.ch	46.631345	46.631345	10.372252	10.372252
yarra.au	-33.61	-33.61	150.73	150.73
