attributeName	code	definition
res	N	"No, outside reserve"
res	Y	"Yes, inside reserve"
rep	1	Replicate 1
rep	2	Replicate 2
Ba.de	0	Not observed
Ba.de	1	Present/at least one observation
Ba.or	1	Present/at least one observation
Ba.or	0	Not observed
Ch.ba	1	Present/at least one observation
Ch.ba	0	Not observed
Ch.bu	0	Not observed
Ch.bu	1	Present/at least one observation
Ch.st	0	Not observed
Ch.st	1	Present/at least one observation
Cr.bu	0	Not observed
Cr.bu	1	Present/at least one observation
Da.pu	0	Not observed
Da.pu	1	Present/at least one observation
De.sp	0	Not observed
De.sp	1	Present/at least one observation
Fo.br	0	Not observed
Fo.br	1	Present/at least one observation
Ga.na	1	Present/at least one observation
Ga.na	0	Not observed
Gl.sp	1	Present/at least one observation
Gl.sp	0	Not observed
Ha.sa	0	Not observed
Ha.sa	1	Present/at least one observation
He.mi	0	Not observed
He.mi	1	Present/at least one observation
Ho.bu	0	Not observed
Ho.bu	1	Present/at least one observation
Hy.sa	0	Not observed
Hy.sa	1	Present/at least one observation
La.ro	0	Not observed
La.ro	1	Present/at least one observation
Ma.ar	0	Not observed
Ma.ar	1	Present/at least one observation
My.ar	1	Present/at least one observation
My.ar	0	Not observed
Nema	1	Present/at least one observation
Nema	0	Not observed
Ne.st	0	Not observed
Ne.st	1	Present/at least one observation
No.no	0	Not observed
No.no	1	Present/at least one observation
Pa.vo	0	Not observed
Pa.vo	1	Present/at least one observation
Pe.st	0	Not observed
Pe.st	1	Present/at least one observation
Po.sp	0	Not observed
Po.sp	1	Present/at least one observation
Pu.gr	0	Not observed
Pu.gr	1	Present/at least one observation
Pu.re	0	Not observed
Pu.re	1	Present/at least one observation
Ra.da	0	Not observed
Ra.da	1	Present/at least one observation
Ra.gu	0	Not observed
Ra.gu	1	Present/at least one observation
Sc.bu	1	Present/at least one observation
Sc.bu	0	Not observed
Sp.ac	0	Not observed
Sp.ac	1	Present/at least one observation
Sy.ru	0	Not observed
Sy.ru	1	Present/at least one observation
To.sp	1	Present/at least one observation
To.sp	0	Not observed
Xe.ca	0	Not observed
Xe.ca	1	Present/at least one observation
